product_url,product_color,product_image,product_image_main,product_title,product_description,product_price,image_path
https://www2.hm.com/en_in/productpage.1214625004.html,Dark beige,,"https://lp2.hm.com/hmgoepprod?set=source[/49/75/4975e22b3574ad3a3f1fc023529ddd54ff1157a2.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[z],hmver[2]&call=url[file:/product/fullscreen]",Loose Fit T-shirt,,Rs.899.00,/content/drive/MyDrive/images/a08b720e-5562-4a7b-b3a0-8c505fd2488f.jpg
https://www2.hm.com/en_in/productpage.1214915003.html,Purple/Leopard print,,"https://lp2.hm.com/hmgoepprod?set=source[/58/75/5875a78a95b6ff050d4ed0aa6e0761f6c773cb3b.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[z],hmver[2]&call=url[file:/product/fullscreen]",Loose Fit Lyocell resort shirt,,"Rs.1,499.00",/content/drive/MyDrive/images/85ee3c11-5ddf-4df6-b349-78bca9d89bb5.jpg
https://www2.hm.com/en_in/productpage.1195486002.html,Bright blue/Harlem,,"https://lp2.hm.com/hmgoepprod?set=source[/25/f3/25f36a37f1387ba8ac705cd1dad51ab7ecac0e0c.jpg],origin[dam],category[men_jacketscoats_shirtjackets],type[DESCRIPTIVESTILLLIFE],res[z],hmver[2]&call=url[file:/product/fullscreen]",Oversized Fit Corduroy overshirt,,"Rs.2,999.00",/content/drive/MyDrive/images/ac9aebcc-f057-42eb-acaf-056ef8de1dca.jpg
https://www2.hm.com/en_in/productpage.1212607001.html,Beige/Block-coloured,,"https://lp2.hm.com/hmgoepprod?set=source[/13/f9/13f9acb9c18bbcac865d2163a39fa55431287686.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[z],hmver[2]&call=url[file:/product/fullscreen]",Loose Fit Polo shirt,,"Rs.1,499.00",/content/drive/MyDrive/images/0218411b-d1f2-40d4-a0e6-ef5e1b94fb09.jpg
https://www2.hm.com/en_in/productpage.1227161001.html,Navy blue,,"https://lp2.hm.com/hmgoepprod?set=source[/38/49/3849b77612992c9ec5941125838b85dff34c0266.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[z],hmver[2]&call=url[file:/product/fullscreen]",Regular Fit Twill jacket,,"Rs.2,299.00",/content/drive/MyDrive/images/ada39acb-1124-407f-af46-5b14af540c32.jpg
https://www2.hm.com/en_in/productpage.1211232001.html,Khaki green,,"https://lp2.hm.com/hmgoepprod?set=source[/f6/c2/f6c2daeec0731ad886e536c6bdb330c79f0f1470.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[z],hmver[2]&call=url[file:/product/fullscreen]",Regular Fit Textured shirt,,"Rs.2,699.00",/content/drive/MyDrive/images/73a41d8c-59e3-44b0-9f70-1ae647440e40.jpg
https://www2.hm.com/en_in/productpage.1011890003.html,Grey marl,,"https://lp2.hm.com/hmgoepprod?set=source[/51/77/5177eb9cc61d5c917ae48568c880b9a99acf6699.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/fullscreen]",Loose Fit Zip-through hoodie,,"Rs.1,499.00",/content/drive/MyDrive/images/99ae4d58-1843-4d77-9b0e-b3c6e1343be6.jpg
https://www2.hm.com/en_in/productpage.1210576002.html,Denim black,,"https://lp2.hm.com/hmgoepprod?set=source[/fd/05/fd05d50fdac3a900596d8796ebba49cc3c759e88.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/fullscreen]",Straight Regular Jeans,,"Rs.2,699.00",/content/drive/MyDrive/images/7d6841db-4810-4a1c-8833-87a805bc4885.jpg
https://www2.hm.com/en_in/productpage.0827280023.html,Light beige/Checked,,"https://lp2.hm.com/hmgoepprod?set=source[/bf/f9/bff9b2ff07cb6541b2dcc6d74d6bd4c82a3145b2.jpg],origin[dam],category[men_shirts_longsleeved],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/fullscreen]",Regular Fit Flannel shirt,,"Rs.1,799.00",/content/drive/MyDrive/images/06e9aed0-6be0-4ec2-87cf-8fcd2b3b980a.jpg
https://www2.hm.com/en_in/productpage.1214625001.html,Cream,,"https://lp2.hm.com/hmgoepprod?set=source[/d3/b2/d3b20ad42043fce974ced1e8dec3c61158483391.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/fullscreen]",Loose Fit T-shirt,,Rs.899.00,/content/drive/MyDrive/images/861bbc55-fae0-465d-b4b7-7486154ef4de.jpg
