product_url,product_color,product_image,product_image_main,product_title,product_description,product_price,image_path
https://www2.hm.com/en_in/productpage.1212001002.html,Beige/Brown,,"https://lp2.hm.com/hmgoepprod?set=source[/6e/8f/6e8f5e216bddb8495ed475c96bf8365767e29f12.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[y],hmver[2]&call=url[file:/product/fullscreen]",Crossbody straw bag,,"Rs.2,299.00",/content/drive/MyDrive/images_temp_1000/afeb65fb-8166-4804-b9e6-fb020027f910.jpg
https://www2.hm.com/en_in/productpage.1124338002.html,Black,,"https://lp2.hm.com/hmgoepprod?set=source[/72/bd/72bdf65b325ca925b7465332233e7b6f15e08f70.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[y],hmver[2]&call=url[file:/product/fullscreen]",Zip-top cropped top,,Rs.999.00,/content/drive/MyDrive/images_temp_1000/65a320a0-8de4-4b1c-ab07-2010d0902691.jpg
https://www2.hm.com/en_in/productpage.1213660001.html,Black,,"https://lp2.hm.com/hmgoepprod?set=source[/f3/71/f3716ced68e4133b97a555c48625001e5386001b.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[y],hmver[2]&call=url[file:/product/fullscreen]",DryMove™ Sports vest top,,"Rs.1,299.00",/content/drive/MyDrive/images_temp_1000/745b94f1-083b-4d68-a6d7-947cf43171ac.jpg
https://www2.hm.com/en_in/productpage.1211138001.html,Black,,"https://lp2.hm.com/hmgoepprod?set=source[/f1/10/f110e09c5a131af86f6f3ad9de900cf494df8895.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[y],hmver[2]&call=url[file:/product/fullscreen]",Smocked-waist textured dress,,"Rs.1,299.00",/content/drive/MyDrive/images_temp_1000/1470fd53-8ca6-4223-9e69-f0db426b043f.jpg
https://www2.hm.com/en_in/productpage.1219074001.html,Black/Patterned,,"https://lp2.hm.com/hmgoepprod?set=source[/0a/d4/0ad41079a1626a25b48ea0761c92f631d04f3f70.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[y],hmver[2]&call=url[file:/product/fullscreen]",Tie-belt shirt dress,,"Rs.1,799.00",/content/drive/MyDrive/images_temp_1000/3c2af2d3-5eb3-43a2-b29e-801b28eef29b.jpg
https://www2.hm.com/en_in/productpage.1128506009.html,Dark grey,,"https://lp2.hm.com/hmgoepprod?set=source[/fd/cc/fdccda2a5f74d4df44c0cb60441cd00c47f66906.jpg],origin[dam],category[ladies_basics_dressesskirts],type[DESCRIPTIVESTILLLIFE],res[y],hmver[2]&call=url[file:/product/fullscreen]",Oversized T-shirt dress,,"Rs.1,299.00",/content/drive/MyDrive/images_temp_1000/546a6302-ca62-4420-9699-a609b7a77fad.jpg
https://www2.hm.com/en_in/productpage.1214167004.html,Navy blue,,"https://lp2.hm.com/hmgoepprod?set=source[/c0/4d/c04ddcbb16b75e2f90d6a3f702ac488d6c276601.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/fullscreen]",Nylon parachute trousers,,"Rs.1,499.00",/content/drive/MyDrive/images_temp_1000/a5a89440-2217-4288-b4ba-4837a039f053.jpg
https://www2.hm.com/en_in/productpage.1220261001.html,Light beige,,"https://lp2.hm.com/hmgoepprod?set=source[/8f/09/8f09aefadcb2e074f12096fa33ddb3e57a0a92b8.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/fullscreen]",Embroidery-detail cap,,"Rs.1,399.00",/content/drive/MyDrive/images_temp_1000/ef4736a7-3f3b-4e8b-a965-90e53dd9a693.jpg
https://www2.hm.com/en_in/productpage.1084436001.html,Black,,"https://lp2.hm.com/hmgoepprod?set=source[/17/e7/17e7da70868918c458f2f3b00d4e80025bd37554.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/fullscreen]",Curvy Fit Wide Ultra High Jeans,,"Rs.1,999.00",/content/drive/MyDrive/images_temp_1000/37caba25-a185-431d-a0d9-608c915f2807.jpg
https://www2.hm.com/en_in/productpage.1224091001.html,Black,,"https://lp2.hm.com/hmgoepprod?set=source[/7e/e5/7ee58e47af3da01689ffbff804a4228b9013c31a.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/fullscreen]",Crêpe jersey culottes,,"Rs.1,499.00",/content/drive/MyDrive/images_temp_1000/70451348-f114-498e-820f-55f31fca0527.jpg
