product_title,product_details,product_color,product_url,image_url,image_path
Monogram Pochette,"100% coated canvas, Brown, classic, Date code reads sd0021",,https://www.thredup.com/product/women-coated-canvas-louis-vuitton-brown-monogram-pochette/158762755?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/559168594/retina.jpg,thredup_images\b8e05433-d140-47d2-86c2-c07fa35d6a90.jpg
Casual Dress,"Material unknown, Sleeveless, v-neck, a-line silhouette, tie-dye print, ruched detail, multi color, tan, boho",,https://www.thredup.com/product/women-young-fabulous-and-broke-multi-color-casual-dress/158707593?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/556977945/retina.jpg,thredup_images\2b785f0a-014f-4061-9d28-4dc541db45f4.jpg
Casual Dress,"95% polyester, 5% elastane, 3/4 sleeve, sheath, floral print, ruched detail, black, work, knee length",,https://www.thredup.com/product/women-polyester-lauren-by-ralph-lauren-black-casual-dress/158411234?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/555474065/retina.jpg,thredup_images\37926a94-f8b4-4fe3-ada1-246ff443fa44.jpg
Casual Dress,"100% polyester, Sleeveless, high neck, solid, teal",,https://www.thredup.com/product/women-polyester-show-me-your-mumu-teal-casual-dress/158179392?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/560069616/retina.jpg,thredup_images\9e02c4e6-d9cf-44ce-8d78-ce75c70fc065.jpg
Cocktail Dress,"100% polyester, Sleeveless, v-neck, party, midi, solid, pleats, black, brown, calf length",,https://www.thredup.com/product/women-polyester-white-house-black-market-black-cocktail-dress/158072451?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/553987575/retina.jpg,thredup_images\43a0d0f9-017c-4dab-9986-5264b1e6c37a.jpg
Sneakers,"Material unknown, Slip-on, solid, navy, blue",,https://www.thredup.com/product/women-blowfish-navy-sneakers/157858926?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/552887084/retina.jpg,thredup_images\715bf47b-6f75-44d6-b577-f641bc604c79.jpg
Long Sleeve Blouse,"Material unknown, Long sleeve, high neck, polka dot print, ruched detail, green, work",,https://www.thredup.com/product/women-merona-green-long-sleeve-blouse/157491834?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/551334277/retina.jpg,thredup_images\eb26058a-b81b-4ef7-92dc-b70535ae69b9.jpg
Jeans,"69% cotton, 26% polyester, 3% viscose, 2% elastane, Boyfriend, solid, whiskering, blue, boho, medium wash, boyfriend, low rise waist",,https://www.thredup.com/product/women-cotton-shein-blue-jeans/156344003?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/546638174/retina.jpg,thredup_images\7be37e5a-da1f-4de0-9383-3f7dea76ae97.jpg
Cocktail Dress,"100% polyester, Short sleeve, scoop neckline, formal, solid, pink",,https://www.thredup.com/product/women-polyester-show-me-your-mumu-pink-cocktail-dress/156310330?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/546326242/retina.jpg,thredup_images\3ad1b38c-d39a-4cef-9cf6-c89cc7f438d2.jpg
Cocktail Dress,"100% polyester, Sleeveless, high neck, solid, ruched detail, white, boho",,https://www.thredup.com/product/women-polyester-show-me-your-mumu-white-cocktail-dress/156086289?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/546289241/retina.jpg,thredup_images\e74c7086-9bd7-4519-bbe0-b0e57277288c.jpg
Denim Shorts,"62% cotton, 25% polyester, 10% viscose, 3% elastane, Solid, whiskering, blue, classic, dark wash, super low rise waist",,https://www.thredup.com/product/women-cotton-american-eagle-outfitters-blue-denim-shorts/155747173?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/543975238/retina.jpg,thredup_images\11c60fcd-af98-45f6-b599-2a602e4475d3.jpg
Casual Dress,"Material unknown, Sleeveless, v-neck, a-line silhouette, bow & tie, multi color, black, work, knee length",,https://www.thredup.com/product/women-sheilay-multi-color-casual-dress/155633810?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/543506596/retina.jpg,thredup_images\22c5ddda-a0bf-4fc5-a6ed-c10eb4524b03.jpg
Casual Dress,"2% spandex, 98% polyester, Short sleeve, scoop neckline, sheath, ruched detail, multi color, brown, boho, knee length",,https://www.thredup.com/product/women-spandex-signature-by-robbie-bee-multi-color-casual-dress/155577333?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/544562875/retina.jpg,thredup_images\ed5b6673-675b-443c-972b-e718389f37e8.jpg
Jumpsuit,,,https://www.thredup.com/product/women-buenos-ninos-multi-color-jumpsuit/155530207?query_id=888358615303168000&result_id=888358618234986496,https://cf-assets-thredup.thredup.com/assets/543158601/retina.jpg,thredup_images\1ad17cf5-b121-4a6d-b449-957c913291f7.jpg
